Filename,Wordcount,Hyperlinks,Domains,NER Entities,% Numeric Characters
300301_Aurelius_BOFI_2015_6.p.txt,195,0,0,111,2.89
74_Bronte Capital_UTA_2010_6.p.txt,1080,0,0,27,2.72
472_Trinity Research Group_VNET_2014_1.p.txt,25035,9,5,2599,5.49
277_Asensio_OLED_2013_14.p.txt,1017,0,0,93,2.18
91044_Quintessential_ON_2019.p.txt,3971,0,0,138,1.93
408_Bronte Capital_NOG_2011_8.p.txt,801,0,0,89,8.34
172_Richard Pearson_HLF_2012.p.txt,4230,0,0,111,5.83
307201_Jay Yoon_VOXX_2014_1.p.txt,183,0,0,102,3.42
93044_Chimin Sang_LIWA_2009_4.p.txt,16,0,0,11,7.77
302102_Iceberg_Noble_2016_3.p.txt,1087,0,0,42,4.82
543_Street Sweeper_SPWH_2015_2.p.txt,2405,0,0,93,1.77
48_Kerrisdale Capital_PRKR_2012_1.p.txt,13426,2,2,1072,4.6
91082_Mako_CYRX_2019.p.txt,6,0,0,0,0.0
273_Duquesne Family Office_IBM_2013_1.p.txt,926,0,0,116,4.71
300301_Aurelius_BOFI_2016_7.p.txt,460,0,0,515,3.68
752_Suhail Capital_VEEV_2014_8.p.txt,1190,0,0,49,5.37
302825_Muddy Waters_MFC_2018.p.txt,14436,0,0,575,1.88
152_Richard Pearson_BIOL_2013_1.p.txt,2680,0,0,171,3.06
610_Spruce Point Capital_NCR_2015_1.p.txt,5977,0,0,463,2.8
524_Asensio_CSKI_2009_8.p.txt,736,0,0,76,2.48
321_Alpha Exposure_EXAS_2013_1.p.txt,2282,0,0,93,4.95
303904_SkyTides_PODD_2016_4.p.txt,677,0,0,41,2.59
192_Citron Research_HRBN_2011_1.p.txt,1539,0,0,131,4.31
596_Street Sweeper_HRTX_2015.p.txt,2129,0,0,148,3.83
249_GeoInvesting_AFSI_2014_3.p.txt,3303,0,0,257,3.3
663_Richard Pearson_SXC_2015_2.p.txt,1654,0,0,108,2.02
119_Kynikos Associates_SAN_2012.p.txt,1914,0,0,152,3.93
769_Kerrisdale Capital_STRP_2015_2.p.txt,4773,0,0,255,2.97
329_Kerrisdale Capital_UNIS_2013_1.p.txt,2783,0,0,152,4.57
302508_Mako_IPIX_2017_2.p.txt,246,0,0,238,2.07
300323_Aurelius_MDXG_2017_3.p.txt,1147,0,0,155,1.17
90284_Meridian_WBC_2016_only a few pages in this document.p.txt,67238,0,0,3639,1.71
296_Meson Capital_OMEX_2014_15.p.txt,1897,0,0,148,2.99
638_Cable Car Capital_PLUS-GB_2015_13.p.txt,1654,0,0,46,3.95
300104_Alpha Exposure_MESO_2016_3.p.txt,921,0,0,26,5.55
304006_Spruce Point Capital_ULTI_2016.p.txt,36111,2,2,1676,4.14
304104_StreetSweeper_TRXC_2018_1.p.txt,1114,0,0,109,5.5
489_GeoInvesting_CGA_2014_3.p.txt,2085,0,0,166,2.11
303_Whitney Tilson_WRLD_2013_2.p.txt,1266,0,0,63,1.75
421_Infitialis_QWTR_2012.p.txt,3047,0,0,320,5.38
277_Asensio_OLED_2013_7.p.txt,1275,0,0,126,1.32
90330_Cannell Capital_OSIR_2016.p.txt,6,0,0,0,0.0
98_Richard Pearson_PCRX_2013_1.p.txt,3788,0,0,241,3.23
300604_Blue Orca_PDD_2018.p.txt,15818,33,18,593,4.05
573_Bronte Capital_TSL_2011_5.p.txt,1004,0,0,40,5.34
74_Bronte Capital_UTA_2010_12.p.txt,712,0,0,20,4.51
302102_Iceberg_Noble_2018_8.p.txt,46,0,0,2,14.18
97_Richard Pearson_TSRO_2013.p.txt,2137,0,0,73,2.07
305505_Fraud Research_VEND_2014_1.p.txt,190,0,0,79,4.31
307501_FourWorldCapital_OMER_2019_1.p.txt,2354,0,0,590,5.34
307102_JCAP_BGNE_2019_2.p.txt,2748,1,1,236,2.79
15_Kynikos Associates_FMG-AU_2012.p.txt,1914,0,0,152,3.93
911109_Spruce Point_PINC_2019.p.txt,9112,0,0,266,5.49
30_Citron Research_ISRG_2013_4.p.txt,2882,0,0,143,1.28
90705_The Capitolist_TRUP_2018_7.p.txt,20,0,0,5,6.72
300801_Bonitas Research_2200HK_2018.p.txt,11365,30,17,970,4.44
39_Greenlight Capital_X_2012.p.txt,1557,0,0,133,4.52
457_GeoInvesting_XXII_2014_5.p.txt,438,0,0,25,2.14
458_Asensio_NFLX_2010.p.txt,287,0,0,58,2.55
200_Matt Berry_QIHU_2012_3.p.txt,974,0,0,160,9.55
512_Gotham Investing_AFSI_2014_1.p.txt,661,0,0,99,2.51
25_Glaucus Research Group_2233-HK_2012.p.txt,14677,10,8,892,3.93
296_Meson Capital_OMEX_2015_28.p.txt,2004,0,0,167,3.96
526_Street Sweeper_URRE_2014.p.txt,941,0,0,45,5.28
131_Matt Berry_FMCN_2012_3.p.txt,618,0,0,51,6.33
301304_Forensic Research Analyst_EROS_2016_1.p.txt,50,0,0,26,2.64
533_Street Sweeper_RDCM_2014_2.p.txt,933,0,0,65,5.11
91421_Hindenburg_NKLA_2020_2.p.txt,12764,0,0,809,3.85
121_Bronte Capital_CCME_2010_1.p.txt,2082,0,0,73,4.66
12051_Chimin Sang_IL_2010.p.txt,15,0,0,1,7.77
91180_Asensio_PGWC_2006_4.p.txt,575,0,0,42,1.61
91228_Spruce Point_DBX_2020.p.txt,11699,0,0,396,4.3
523_Asensio_AOBI_2009_05.p.txt,774,0,0,94,2.01
90550_Viceroy_SNH_2017_1.p.txt,13114,36,21,1500,3.82
689_Cable Car Capital_EXAS_2017_11.p.txt,232,0,0,7,1.43
301401_Friendly Bear_BOFI_2016_1.p.txt,221,0,0,193,3.72
92126_Asensio_LDK_2006_6.p.txt,433,0,0,86,0.78
431_Kerrisdale Capital_CHBT_2010_3.p.txt,1161,2,2,19,4.39
328_GeoInvesting_PCYG_2014.p.txt,8618,0,0,399,3.1
632_Street Sweeper_CDTI_2015.p.txt,1748,0,0,131,3.19
91141_EFT Research_WILL_2019.p.txt,454,0,0,535,3.9
587_Street Sweeper_CRMD_2015.p.txt,1798,0,0,102,4.33
90391_Art Doyle_LJPC_2017.p.txt,339,0,0,199,1.5
787_Citron Research_MNK_2017_3.p.txt,1175,0,0,76,1.9
91129_Night Market Research_ZYXI_2019_1.p.txt,20,0,0,0,6.72
304122_Street Sweeper_CANF_2018_1.p.txt,185,0,0,99,6.65
277_Asensio_OLED_2013_29.p.txt,849,0,0,90,2.09
300_Richard Pearson_TSL_2013.p.txt,6762,0,0,497,4.75
498_Street Sweeper_AXDX_2014.p.txt,3793,0,0,120,5.99
91250_Night Market Research_KERN_2020.p.txt,31,0,0,2,4.22
436_Street Sweeper_SYMX_2014.p.txt,2007,0,0,86,5.97
169_GeoInvesting_KNDI_2012_2.p.txt,4661,0,0,616,3.18
105_Richard Pearson_ZIOP_2013_2.p.txt,2262,0,0,78,2.21
77114_Citron_WRLD_2009_1.p.txt,27,0,0,6,5.1
90976_Philadelphia_PLUS_2018.p.txt,2867,1,1,216,6.18
303613_Richard Pearson_SSTI_2017_1.p.txt,7203,0,0,510,4.37
532_RH Analytics_HCI_2015_16.p.txt,654,0,0,57,2.42
58_Street Sweeper_QCOR_2012_1.p.txt,3854,0,0,197,4.89
238_Forensic Accounter_MILL_2013_2.p.txt,1250,0,0,94,4.81
281_Alfred Little_FU_2013_3.p.txt,783,0,0,36,5.31
50_Kerrisdale Capital_NOW_2012_2.p.txt,5734,0,0,210,3.49
368_GeoInvesting_WSTI_2014_1.p.txt,3564,0,0,449,5.03
91340_OSS Research_TCMD_2020_2.p.txt,24,0,0,1,6.97
559_Emerson Analytics_967-HK_2015.p.txt,14333,16,12,877,5.58
305401_ViceroyResearch_EBIX_2018_1.p.txt,12098,16,8,674,5.09
242_Glaucus Research Group_1259-HK_2013.p.txt,10428,1,1,1652,4.6
302102_Iceberg_Noble_2017_7.p.txt,40,0,0,2,15.84
760_Glaucus Research Group_2010-HK_2015_1.p.txt,14476,13,9,992,4.27
243_Gravity Research Group_MONT_2014.p.txt,5952,0,0,858,4.88
289_Whitney Tilson_IOC_2010_1.p.txt,1572,0,0,125,12.54
301237_Citron_INGN_2018_1.p.txt,1703,1,1,72,2.56
304307_Well_6273_2016_2.p.txt,1749,0,0,101,1.83
478_Alpha Exposure_VHC_2014_1.p.txt,1502,0,0,99,2.78
447_Whitney Tilson_NFLX_2011_3.p.txt,1751,0,0,87,2.67
90599_Viceroy_NDRM_2017_1.p.txt,5257,0,0,131,2.59
45_Kynikos Associates_1288-HK_2011.p.txt,1548,0,0,113,3.41
715_Xuhua Zhou_W_2015.p.txt,1819,0,0,59,3.41
92126_Asensio_LDK_2006_13.p.txt,335,0,0,52,2.16
90263_RealTalk_BNFT_2016.p.txt,25,0,0,1,8.16
90705_The Capitolist_TRUP_2018_19.p.txt,27,0,0,1,6.78
90054_Cliffside_TZOO_2016.p.txt,5,0,0,1,0.0
91128_Viceroy_ATNX_2019_4.p.txt,2687,3,2,170,1.47
11_Absaroka Capital_LIWA_2011.p.txt,8846,16,5,1045,5.21
90101_Cliffside_CLSD_2016_1.p.txt,6,0,0,0,4.65
90074_Cliffside_STS_2016.p.txt,4169,0,0,134,4.7
516_Citron Research_GPRO_2014.p.txt,1492,0,0,63,3.87
491_Kerrisdale Capital_GSAT_2014_1.p.txt,27398,0,0,754,3.37
91090_Asensio_CROX_2006_2.p.txt,358,0,0,44,1.0
91458_Grizzly_CELH_2020.p.txt,13913,0,0,471,2.55
59_Citron Research_QCOR_2012_3.p.txt,1110,0,0,93,3.26
91138_Spruce Point_HRC_2019.p.txt,20178,0,0,851,5.21
448_Bleecker Street Research_JRJC_2014_1.p.txt,1493,0,0,168,3.29
302701_Mithra_VIPS_2015_1.p.txt,897,0,0,427,4.11
486_Matt Berry_RELV_2013_2.p.txt,403,0,0,59,7.08
180_Infitialis_GWPH_2014.p.txt,3351,0,0,288,4.47
752_Suhail Capital_VEEV_2013_1.p.txt,15480,0,0,510,2.88
300105_Alpha Exposure_AKAO_2017.p.txt,25,0,0,5,8.45
164_Kynikos Associates_MHP_2011.p.txt,1939,0,0,359,4.48
90823_Hindenburg_OPK_2017.p.txt,5911,0,0,293,5.19
90850_FFJ_MGYN_2019.p.txt,1769,0,0,187,4.87
327_Gotham City Research_TTS_2013.p.txt,10400,1,1,1062,5.74
84607_Citron_EMKR_2008_2.p.txt,18,0,0,2,5.58
44_Pershing_AGM_2002.p.txt,24772,0,0,1579,2.28
399_Alpha Exposure_LEE_2013.p.txt,999,0,0,81,4.31
55_GeoInvesting_LLEN_2013_4.p.txt,5278,0,0,1085,5.55
303203_Prescience_CGI_2017_1.p.txt,12716,0,0,271,3.53
302204_Kerrisdale_DISH_2016_1.p.txt,16885,0,0,648,3.79
85925_Shareholder Watchdog_RBA_2010.p.txt,20,0,0,4,5.42
304022_Spruce Point Capital_MATW_2018.p.txt,7959,0,0,559,9.44
304119_Street Sweeper_FENX_2017_1.p.txt,45,0,0,11,4.54
128_Kerrisdale Capital_CEU_2010.p.txt,2608,0,0,208,3.63
277_Asensio_OLED_2013_30.p.txt,598,0,0,79,2.4
532_RH Analytics_HCI_2014_8.p.txt,670,0,0,45,2.32
609_Hayman Capital Management_BIIB_2015.p.txt,13727,0,0,738,5.22
304042_Spruce Point Capital_DXCM_2019.p.txt,22626,0,0,1147,6.78
90425_The Capitolist_OPK_2017.p.txt,37,0,0,8,7.48
163_Alfred Little_CGA_2010_1.p.txt,723,0,0,57,4.51
301602_Glaucus Research_TYO_8001_2016_2.p.txt,3067,4,4,187,2.0
454_Bronte Capital_XPP-GB_2012.p.txt,1433,0,0,37,6.79
657_Shareholder Watchdog_HMPR_2011.p.txt,2404,0,0,183,3.88
532_RH Analytics_HCI_2016_19.p.txt,816,0,0,56,4.11
90092_GlassHouse_TPC_2016.p.txt,2898,0,0,83,3.59
322_Whitney Tilson_LRN_2013_3.p.txt,1401,0,0,38,2.2
204_Anonymous Analytics_QIHU_2012.p.txt,5785,11,8,210,2.18
302821_Muddy Waters_TAL_2018_1.p.txt,2209,0,0,44,3.77
90361_Citron_AMEDL_2008.p.txt,1324,1,1,57,2.06
698_Spruce Point Capital_CSTE_2015_2.p.txt,10596,0,0,871,4.58
752_Suhail Capital_VEEV_2014_14.p.txt,7854,0,0,252,1.59
744_Street Sweeper_WIFI_2015.p.txt,2091,0,0,137,4.1
424_Bronte Capital_GPOR_2012_3.p.txt,1931,0,0,156,6.01
