Filename,Wordcount,Hyperlinks,Domains,Unique NER Entities,Total NER Entities,$ NER,% NER,% Numeric Characters,Financial Terms,SEC Terms
300301_Aurelius_BOFI_2015_6.p.txt,2314,30,11,88,181,2,2,2.89,27,3
74_Bronte Capital_UTA_2010_6.p.txt,1363,24,6,51,104,24,10,2.72,7,1
472_Trinity Research Group_VNET_2014_1.p.txt,34847,428,48,822,3634,44,274,5.49,416,51
277_Asensio_OLED_2013_14.p.txt,1592,49,4,47,116,0,0,2.18,5,1
91044_Quintessential_ON_2019.p.txt,4638,0,0,109,223,20,10,1.93,36,3
408_Bronte Capital_NOG_2011_8.p.txt,1319,77,13,72,241,0,12,8.34,3,0
172_Richard Pearson_HLF_2012.p.txt,5105,34,11,217,996,463,39,5.83,26,0
307201_Jay Yoon_VOXX_2014_1.p.txt,657,20,5,127,407,82,35,3.42,0,0
93044_Chimin Sang_LIWA_2009_4.p.txt,674,14,2,63,215,8,71,3.66,6,0
302102_Iceberg_Noble_2016_3.p.txt,1618,40,6,76,168,15,4,4.82,12,0
543_Street Sweeper_SPWH_2015_2.p.txt,2819,22,7,65,143,0,7,1.77,15,0
48_Kerrisdale Capital_PRKR_2012_1.p.txt,15792,47,12,547,1961,136,61,4.6,130,11
91082_Mako_CYRX_2019.p.txt,4877,50,14,203,672,38,145,3.31,71,12
273_Duquesne Family Office_IBM_2013_1.p.txt,1345,65,13,126,318,3,67,4.71,10,0
300301_Aurelius_BOFI_2016_7.p.txt,7170,122,51,217,917,47,18,3.68,66,9
752_Suhail Capital_VEEV_2014_8.p.txt,1440,20,7,63,125,17,13,5.37,16,8
302825_Muddy Waters_MFC_2018.p.txt,16209,0,0,249,1478,142,151,1.88,97,2
152_Richard Pearson_BIOL_2013_1.p.txt,3118,35,4,101,300,46,12,3.06,29,13
610_Spruce Point Capital_NCR_2015_1.p.txt,7110,38,28,326,927,115,37,2.8,144,8
524_Asensio_CSKI_2009_8.p.txt,1172,37,4,84,188,21,9,2.48,9,2
321_Alpha Exposure_EXAS_2013_1.p.txt,2645,28,6,44,138,5,13,4.95,19,1
303904_SkyTides_PODD_2016_4.p.txt,850,14,4,43,91,0,7,2.59,3,0
192_Citron Research_HRBN_2011_1.p.txt,2042,18,4,84,420,43,100,4.31,20,2
596_Street Sweeper_HRTX_2015.p.txt,2743,64,19,150,295,31,8,3.83,20,1
249_GeoInvesting_AFSI_2014_3.p.txt,3866,34,7,115,381,62,8,3.3,37,27
663_Richard Pearson_SXC_2015_2.p.txt,1967,14,4,38,152,4,4,2.02,12,3
119_Kynikos Associates_SAN_2012.p.txt,2536,0,0,184,382,15,45,3.93,31,3
769_Kerrisdale Capital_STRP_2015_2.p.txt,5391,0,0,143,471,67,22,2.97,58,5
329_Kerrisdale Capital_UNIS_2013_1.p.txt,3247,47,16,143,412,47,29,4.57,44,7
302508_Mako_IPIX_2017_2.p.txt,5371,41,8,106,379,37,9,2.07,50,12
300323_Aurelius_MDXG_2017_3.p.txt,1645,30,3,85,187,5,0,1.17,12,0
90284_Meridian_WBC_2016_only a few pages in this document.p.txt,82740,583,16,1633,6763,360,807,1.71,837,13
296_Meson Capital_OMEX_2014_15.p.txt,2274,36,7,101,225,2,0,2.99,17,0
638_Cable Car Capital_PLUS-GB_2015_13.p.txt,2336,143,9,70,170,10,0,3.95,22,1
300104_Alpha Exposure_MESO_2016_3.p.txt,1112,18,4,23,51,2,0,5.55,4,2
304006_Spruce Point Capital_ULTI_2016.p.txt,52994,183,65,1466,5750,611,444,4.14,827,39
304104_StreetSweeper_TRXC_2018_1.p.txt,1558,40,8,112,178,26,3,5.5,13,1
489_GeoInvesting_CGA_2014_3.p.txt,2422,17,4,53,233,7,0,2.11,15,7
303_Whitney Tilson_WRLD_2013_2.p.txt,1474,9,4,56,82,0,2,1.75,6,0
421_Infitialis_QWTR_2012.p.txt,3762,53,16,255,695,56,44,5.38,15,8
277_Asensio_OLED_2013_7.p.txt,1909,42,4,55,142,0,0,1.32,8,1
90330_Cannell Capital_OSIR_2016.p.txt,971,26,9,101,337,3,86,6.19,10,2
